,Q2,x,z,pt
402,2.73,0.2,0.55,0.6500000000000001
403,2.73,0.2,0.55,0.7500000000000002
404,2.73,0.2,0.55,0.8500000000000002
405,2.73,0.2,0.55,0.9500000000000002
406,2.73,0.2,0.55,1.0500000000000003
407,2.73,0.2,0.65,0.05
408,2.73,0.2,0.65,0.15000000000000002
409,2.73,0.2,0.65,0.25000000000000006
410,2.73,0.2,0.65,0.35000000000000003
411,2.73,0.2,0.65,0.45000000000000007
412,2.73,0.2,0.65,0.5500000000000002
413,2.73,0.2,0.65,0.6500000000000001
414,2.73,0.2,0.65,0.7500000000000002
415,2.73,0.2,0.65,0.8500000000000002
416,2.73,0.2,0.65,0.9500000000000002
417,2.73,0.2,0.65,1.0500000000000003
418,2.73,0.2,0.7500000000000001,0.05
419,2.73,0.2,0.7500000000000001,0.15000000000000002
420,2.73,0.2,0.7500000000000001,0.25000000000000006
421,2.73,0.2,0.7500000000000001,0.35000000000000003
422,2.73,0.2,0.7500000000000001,0.45000000000000007
423,2.73,0.2,0.7500000000000001,0.5500000000000002
424,2.73,0.2,0.7500000000000001,0.6500000000000001
425,2.73,0.2,0.7500000000000001,0.7500000000000002
426,2.73,0.2,0.7500000000000001,0.8500000000000002
427,2.73,0.2,0.7500000000000001,0.9500000000000002
428,2.73,0.2,0.7500000000000001,1.0500000000000003
429,2.73,0.2,0.8500000000000001,0.05
430,2.73,0.2,0.8500000000000001,0.15000000000000002
431,2.73,0.2,0.8500000000000001,0.25000000000000006
432,2.73,0.2,0.8500000000000001,0.35000000000000003
433,2.73,0.2,0.8500000000000001,0.45000000000000007
434,2.73,0.2,0.8500000000000001,0.5500000000000002
435,2.73,0.2,0.8500000000000001,0.6500000000000001
436,2.73,0.2,0.8500000000000001,0.7500000000000002
437,2.73,0.2,0.8500000000000001,0.8500000000000002
438,2.73,0.2,0.8500000000000001,0.9500000000000002
439,2.73,0.2,0.8500000000000001,1.0500000000000003
440,2.82,0.32,0.15,0.05
441,2.82,0.32,0.15,0.15000000000000002
442,2.82,0.32,0.15,0.25000000000000006
443,2.82,0.32,0.15,0.35000000000000003
444,2.82,0.32,0.15,0.45000000000000007
445,2.82,0.32,0.15,0.5500000000000002
446,2.82,0.32,0.15,0.6500000000000001
447,2.82,0.32,0.15,0.7500000000000002
448,2.82,0.32,0.15,0.8500000000000002
449,2.82,0.32,0.15,0.9500000000000002
450,2.82,0.32,0.15,1.0500000000000003
451,2.82,0.32,0.25,0.05
452,2.82,0.32,0.25,0.15000000000000002
453,2.82,0.32,0.25,0.25000000000000006
454,2.82,0.32,0.25,0.35000000000000003
455,2.82,0.32,0.25,0.45000000000000007
456,2.82,0.32,0.25,0.5500000000000002
457,2.82,0.32,0.25,0.6500000000000001
458,2.82,0.32,0.25,0.7500000000000002
459,2.82,0.32,0.25,0.8500000000000002
460,2.82,0.32,0.25,0.9500000000000002
461,2.82,0.32,0.25,1.0500000000000003
462,2.82,0.32,0.35,0.05
463,2.82,0.32,0.35,0.15000000000000002
464,2.82,0.32,0.35,0.25000000000000006
465,2.82,0.32,0.35,0.35000000000000003
466,2.82,0.32,0.35,0.45000000000000007
467,2.82,0.32,0.35,0.5500000000000002
468,2.82,0.32,0.35,0.6500000000000001
469,2.82,0.32,0.35,0.7500000000000002
470,2.82,0.32,0.35,0.8500000000000002
471,2.82,0.32,0.35,0.9500000000000002
472,2.82,0.32,0.35,1.0500000000000003
473,2.82,0.32,0.45000000000000007,0.05
474,2.82,0.32,0.45000000000000007,0.15000000000000002
475,2.82,0.32,0.45000000000000007,0.25000000000000006
476,2.82,0.32,0.45000000000000007,0.35000000000000003
477,2.82,0.32,0.45000000000000007,0.45000000000000007
478,2.82,0.32,0.45000000000000007,0.5500000000000002
479,2.82,0.32,0.45000000000000007,0.6500000000000001
480,2.82,0.32,0.45000000000000007,0.7500000000000002
481,2.82,0.32,0.45000000000000007,0.8500000000000002
482,2.82,0.32,0.45000000000000007,0.9500000000000002
483,2.82,0.32,0.45000000000000007,1.0500000000000003
484,2.82,0.32,0.55,0.05
485,2.82,0.32,0.55,0.15000000000000002
486,2.82,0.32,0.55,0.25000000000000006
487,2.82,0.32,0.55,0.35000000000000003
488,2.82,0.32,0.55,0.45000000000000007
489,2.82,0.32,0.55,0.5500000000000002
490,2.82,0.32,0.55,0.6500000000000001
491,2.82,0.32,0.55,0.7500000000000002
492,2.82,0.32,0.55,0.8500000000000002
493,2.82,0.32,0.55,0.9500000000000002
494,2.82,0.32,0.55,1.0500000000000003
495,2.82,0.32,0.65,0.05
496,2.82,0.32,0.65,0.15000000000000002
497,2.82,0.32,0.65,0.25000000000000006
498,2.82,0.32,0.65,0.35000000000000003
499,2.82,0.32,0.65,0.45000000000000007
500,2.82,0.32,0.65,0.5500000000000002
501,2.82,0.32,0.65,0.6500000000000001
502,2.82,0.32,0.65,0.7500000000000002
503,2.82,0.32,0.65,0.8500000000000002
504,2.82,0.32,0.65,0.9500000000000002
505,2.82,0.32,0.65,1.0500000000000003
506,2.82,0.32,0.7500000000000001,0.05
507,2.82,0.32,0.7500000000000001,0.15000000000000002
508,2.82,0.32,0.7500000000000001,0.25000000000000006
509,2.82,0.32,0.7500000000000001,0.35000000000000003
510,2.82,0.32,0.7500000000000001,0.45000000000000007
511,2.82,0.32,0.7500000000000001,0.5500000000000002
512,2.82,0.32,0.7500000000000001,0.6500000000000001
513,2.82,0.32,0.7500000000000001,0.7500000000000002
514,2.82,0.32,0.7500000000000001,0.8500000000000002
515,2.82,0.32,0.7500000000000001,0.9500000000000002
516,2.82,0.32,0.7500000000000001,1.0500000000000003
517,2.82,0.32,0.8500000000000001,0.05
518,2.82,0.32,0.8500000000000001,0.15000000000000002
519,2.82,0.32,0.8500000000000001,0.25000000000000006
520,2.82,0.32,0.8500000000000001,0.35000000000000003
521,2.82,0.32,0.8500000000000001,0.45000000000000007
522,2.82,0.32,0.8500000000000001,0.5500000000000002
523,2.82,0.32,0.8500000000000001,0.6500000000000001
524,2.82,0.32,0.8500000000000001,0.7500000000000002
525,2.82,0.32,0.8500000000000001,0.8500000000000002
526,2.82,0.32,0.8500000000000001,0.9500000000000002
527,2.82,0.32,0.8500000000000001,1.0500000000000003
528,3.76,0.29,0.15,0.05
529,3.76,0.29,0.15,0.15000000000000002
530,3.76,0.29,0.15,0.25000000000000006
531,3.76,0.29,0.15,0.35000000000000003
532,3.76,0.29,0.15,0.45000000000000007
533,3.76,0.29,0.15,0.5500000000000002
534,3.76,0.29,0.15,0.6500000000000001
535,3.76,0.29,0.15,0.7500000000000002
536,3.76,0.29,0.15,0.8500000000000002
537,3.76,0.29,0.15,0.9500000000000002
538,3.76,0.29,0.15,1.0500000000000003
539,3.76,0.29,0.25,0.05
540,3.76,0.29,0.25,0.15000000000000002
541,3.76,0.29,0.25,0.25000000000000006
542,3.76,0.29,0.25,0.35000000000000003
543,3.76,0.29,0.25,0.45000000000000007
544,3.76,0.29,0.25,0.5500000000000002
545,3.76,0.29,0.25,0.6500000000000001
546,3.76,0.29,0.25,0.7500000000000002
547,3.76,0.29,0.25,0.8500000000000002
548,3.76,0.29,0.25,0.9500000000000002
549,3.76,0.29,0.25,1.0500000000000003
550,3.76,0.29,0.35,0.05
551,3.76,0.29,0.35,0.15000000000000002
552,3.76,0.29,0.35,0.25000000000000006
553,3.76,0.29,0.35,0.35000000000000003
554,3.76,0.29,0.35,0.45000000000000007
555,3.76,0.29,0.35,0.5500000000000002
556,3.76,0.29,0.35,0.6500000000000001
557,3.76,0.29,0.35,0.7500000000000002
558,3.76,0.29,0.35,0.8500000000000002
559,3.76,0.29,0.35,0.9500000000000002
560,3.76,0.29,0.35,1.0500000000000003
561,3.76,0.29,0.45000000000000007,0.05
562,3.76,0.29,0.45000000000000007,0.15000000000000002
563,3.76,0.29,0.45000000000000007,0.25000000000000006
564,3.76,0.29,0.45000000000000007,0.35000000000000003
565,3.76,0.29,0.45000000000000007,0.45000000000000007
566,3.76,0.29,0.45000000000000007,0.5500000000000002
567,3.76,0.29,0.45000000000000007,0.6500000000000001
568,3.76,0.29,0.45000000000000007,0.7500000000000002
569,3.76,0.29,0.45000000000000007,0.8500000000000002
570,3.76,0.29,0.45000000000000007,0.9500000000000002
